external_id,legacy_identity_key,legacy_partner_id,legacy_partner_source,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_region,street,sc_registered_capital,sc_business_scope,sc_default_tax_rate,sc_default_tax_rate_text,sc_account_name,sc_bank_name,sc_bank_account,vat,phone,email,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_row_count,name_variant_count,review_flags,gate_action,gate_reason
legacy_partner_business_7762b836b317a16f3ed2,partner:business:name:丁丰平,name:丁丰平,xlsx_business_aligned_partner,丁丰平,person,0,1,other,,,,,,,丁丰平,冕宁县农业银行人民路支行,6230520960022821279,,,,丁丰平,,,partner_import_source_business_aligned:name:丁丰平,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_629b775f12152de9303a,partner:business:name:三台县楚卷商贸有限公司,name:三台县楚卷商贸有限公司,xlsx_business_aligned_partner,三台县楚卷商贸有限公司,company,0,1,other,,,,,,,三台县楚卷商贸有限公司,中国工商银行股份有限公司三台支行,2308425109100014665,,,,三台县楚卷商贸有限公司,,,partner_import_source_business_aligned:name:三台县楚卷商贸有限公司,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_6045111c3ab5482e363a,partner:business:name:三台县蒲国云机械租赁有限公司,name:三台县蒲国云机械租赁有限公司,xlsx_business_aligned_partner,三台县蒲国云机械租赁有限公司,company,0,1,other,,,,,,,三台县蒲国云机械租赁有限公司,四川农信,24430120000002339,,,,三台县蒲国云机械租赁有限公司,,,partner_import_source_business_aligned:name:三台县蒲国云机械租赁有限公司,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_315abc21932cfed503a3,partner:business:name:三台县鑫优市场开发服务有限公司,name:三台县鑫优市场开发服务有限公司,xlsx_business_aligned_partner,三台县鑫优市场开发服务有限公司,company,0,1,other,,,,,,,三台县鑫优市场开发服务有限公司,中国工商银行股份有限公司三台支行,2308425109100096019,,,,三台县鑫优市场开发服务有限公司,,,partner_import_source_business_aligned:name:三台县鑫优市场开发服务有限公司,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_88a559beb4ab03c94d65,partner:business:name:三台县龙树镇嘉罗机械租赁部（个体工商户）,name:三台县龙树镇嘉罗机械租赁部（个体工商户）,xlsx_business_aligned_partner,三台县龙树镇嘉罗机械租赁部（个体工商户）,company,0,1,other,,,,,,,三台县龙树镇嘉罗机械租赁部（个体工商户）,四川三台农村商业银行股份有限公司龙树分理处,24430120000003139,,,,三台县龙树镇嘉罗机械租赁部（个体工商户）,,,partner_import_source_business_aligned:name:三台县龙树镇嘉罗机械租赁部（个体工商户）,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_5e896215b8de9c1ea7bd,partner:business:name:上海丞华消防工程技术有限公司,name:上海丞华消防工程技术有限公司,xlsx_business_aligned_partner,上海丞华消防工程技术有限公司,company,0,1,material,,,,,3,3%,上海丞华消防工程技术有限公司,无开户行,31050169430000000783,,,,上海丞华消防工程技术有限公司,,,partner_import_source_business_aligned:name:上海丞华消防工程技术有限公司,,,duplicate_name_in_xlsx;missing_credit_code;supplier_business_fact,update_only_candidate,duplicate_name_in_xlsx;missing_credit_code
legacy_partner_business_c8b78569d0a783db0801,partner:business:name:上海宏信设备工程有限公司,name:上海宏信设备工程有限公司,xlsx_business_aligned_partner,上海宏信设备工程有限公司,company,0,1,material,,,,,6,6%,上海宏信设备工程有限公司,交通银行,310066137018800034882,,,,上海宏信设备工程有限公司,,,partner_import_source_business_aligned:name:上海宏信设备工程有限公司,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_57deba40891d655c356b,partner:business:name:上海普会信息科技有限公司,name:上海普会信息科技有限公司,xlsx_business_aligned_partner,上海普会信息科技有限公司,company,0,1,other,,,,,,,上海普会信息科技有限公司,宁波银行上海浦东支行,70070122000041448,,,,上海普会信息科技有限公司,,,partner_import_source_business_aligned:name:上海普会信息科技有限公司,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_a705ce1409580d0a3c78,partner:business:name:上海硕翃鑫泵业有限公司,name:上海硕翃鑫泵业有限公司,xlsx_business_aligned_partner,上海硕翃鑫泵业有限公司,company,0,1,other,,,,,,,上海硕翃鑫泵业有限公司,中国建设银行股份有限公司杭州飞云江路支行,33050161312900000506,,,,上海硕翃鑫泵业有限公司,,,partner_import_source_business_aligned:name:上海硕翃鑫泵业有限公司,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
legacy_partner_business_3df092d2e34e7c70dbe9,partner:business:name:上海诚械机电设备制造有限公司永嘉分公司,name:上海诚械机电设备制造有限公司永嘉分公司,xlsx_business_aligned_partner,上海诚械机电设备制造有限公司永嘉分公司,company,0,1,material,,,,,6,6%,上海诚械机电设备制造有限公司永嘉分公司,中国农业银行股份有限公司永嘉东瓯支行,19241601040005625,,,,上海诚械机电设备制造有限公司永嘉分公司,,,partner_import_source_business_aligned:name:上海诚械机电设备制造有限公司永嘉分公司,,,missing_credit_code;supplier_business_fact,update_only_candidate,missing_credit_code
