legacy_header_id,legacy_fact_id,document_no,project_legacy_id,project_name,supplier_name,header_amount,line_rows,line_amount,target_model,action,reason
922edb81b1594a9697c39642c62be2c8,0,CLRKD-20220301-001,7a7f8b5476a34a74ad907808839a9c89,天山路（黄河路-凯江路）改造（项目施工）,成都市恒大发物资有限公司,27092.8000,0,0,sc.material.inbound,blocked,missing_project_anchor
7eb404041b8942b1a1c9fe10528fa485,0,CLRKD-20220225-004,d20d236e08434e03963b0b496a223945,测试001,溜达一圈,84500.0000,0,0,sc.material.inbound,blocked,missing_project_anchor
f65951206ebd4361a1d584f6a57b46cc,0,CLRKD-20220226-001,7a7f8b5476a34a74ad907808839a9c89,天山路（黄河路-凯江路）改造（项目施工）,,360.0000,0,0,sc.material.inbound,blocked,missing_project_anchor
714ff596ac634b428af2033cc33a897e,0,CLRKD-20220303-002,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,49651.9000,0,0,sc.material.inbound,blocked,missing_legacy_lines
20828a4f237f4b75937d5f533a4d9320,0,CLRKD-20220303-004,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,德阳市智慧优品商贸有限公司,14210.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
f4ae1185ec4a4f7eb28d4872af672af9,0,CLRKD-20220304-001,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,德阳海森物资有限公司,11250.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
3039f8f9283f4c198342aed143cbabd7,0,CLRKD-20220304-002,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,德阳开发区天马水暖建材经营部,2937.6000,0,0,sc.material.inbound,blocked,missing_legacy_lines
51427a37f127404e83776934b36b3120,0,CLRKD-20220311-002,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,德阳恒大发物资有限公司,27092.8000,0,0,sc.material.inbound,blocked,missing_legacy_lines
22e7283303d343d0ade68d8d9e675ae8,0,CLRKD-20220322-001,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,2903.4000,0,0,sc.material.inbound,blocked,missing_legacy_lines
88bf56f1a22c4fa896a699285d92465e,0,CLRKD-20220322-002,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,四川德阳川熊建材有限责任公司,5700.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
86b14c41591c44c6a4ecbe82197c34f9,0,CLRKD-20220322-003,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,成都梦农科技有限公司,15537.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
5c3afcbda17e4c9e95c29b525b8487d0,0,CLRKD-20220322-004,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,4378.5000,0,0,sc.material.inbound,blocked,missing_legacy_lines
613dbd2d4ce94946b4a9daab01ae6bb4,0,CLRKD-20220322-005,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,1180.8000,0,0,sc.material.inbound,blocked,missing_legacy_lines
0c14672915b642a49a0e21474ae84fcc,0,CLRKD-20220322-006,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,成都市恒大发物资有限公司,57322.4400,0,0,sc.material.inbound,blocked,missing_legacy_lines
522c4b4f668642c69e2905b3572eb92b,0,CLRKD-20220322-007,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,1133.1000,0,0,sc.material.inbound,blocked,missing_legacy_lines
a07b3f4b33de40da8556823fff77fac1,0,CLRKD-20220322-008,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,德阳市智慧优品商贸有限公司,26025.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
08c4a4b790e24480acdb3267f4f0ff33,0,CLRKD-20220322-009,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,晟博通达商贸有限公司,22545.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
d9c6ec0e830e45548c358db160d4f6fe,0,CLRKD-20220322-011,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,晟博通达商贸有限公司,1500.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
1eafd7ca93484100b619fd82e885bd8a,0,CLRKD-20220322-012,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,3702.6000,0,0,sc.material.inbound,blocked,missing_legacy_lines
2a4d7a08d9c7468ea15da0e4446833c3,0,CLRKD-20220322-013,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,四川德阳川熊建材有限责任公司,5700.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
cf240476574a4c3782315f48b0578a23,0,CLRKD-20220322-014,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,3519.9000,0,0,sc.material.inbound,blocked,missing_legacy_lines
a13c6487f3694f1391fb3c1902dd87c8,0,CLRKD-20220322-015,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,矿奇石材,19200.7800,0,0,sc.material.inbound,blocked,missing_legacy_lines
63002ad4c59d4faba7b3adddaa68cab8,0,CLRKD-20220322-016,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,四川德阳川熊建材有限责任公司,5700.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
6d17ba811e364c49883816ce14a11dd7,0,CLRKD-20220322-010,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,晟博通达商贸有限公司,38700.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
ea5da77067e040f59b66cf7ab17efb4a,0,CLRKD-20220322-017,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,矿奇石材,35700.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
eb1e553996684ea58be8a83569db7b4d,0,CLRKD-20220322-026,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,四川省米兰诺陶瓷有限公司,28204.8000,0,0,sc.material.inbound,blocked,missing_legacy_lines
7b879362e2d34db08170cb210957c8fa,0,CLRKD-20220316-001,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,,696.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
afce1d5c23034bddb07d5f13704272b8,0,CLRKD-20220322-018,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,德阳开区发天马水暖建材经营部,3150.0000,0,0,sc.material.inbound,blocked,missing_legacy_lines
de40f5e5e9a84f5ca5e8ab3f6698367b,0,CLRKD-20220322-019,dc99595923e7425da8d87ca56ad23f76,德阳市旌阳区天山路（黄河路-凯江路）改造项目,高地库房,2477.7000,0,0,sc.material.inbound,blocked,missing_legacy_lines
