action_xmlid,ref_type,ref_name,ref_xmlid,ref_source,view_id,view_name,view_model,button_name_raw,button_type,groups_raw
stock.action_picking_type_list,menu,Operations Types,stock.menu_pickingtype,"ir.actions.act_window,395",,,,,,
stock.action_product_stock_view,menu,Stock,stock.menu_product_stock,"ir.actions.act_window,399",,,,,,
smart_construction_core.action_project_dashboard,menu,项目驾驶舱,smart_construction_core.menu_sc_project_dashboard,"ir.actions.act_window,474",,,,,,
smart_construction_core.action_construction_contract_income,menu,收入合同,smart_construction_core.menu_sc_contract_income,"ir.actions.act_window,476",,,,,,
smart_construction_core.action_project_dictionary,menu,全部字典,smart_construction_core.menu_sc_dictionary_all,"ir.actions.act_window,489",,,,,,
purchase.purchase_form_action,menu,Purchase Orders,purchase.menu_purchase_form_action,"ir.actions.act_window,430",,,,,,
account.action_account_journal_group_list,menu,Journal Groups,account.menu_action_account_journal_group_list,"ir.actions.act_window,261",,,,,,
project.project_project_stage_configure,menu,Project Stages,project.menu_project_config_project_stage,"ir.actions.act_window,293",,,,,,
base.action_decimal_precision_form,menu,Decimal Accuracy,base.menu_decimal_precision_form,"ir.actions.act_window,4",,,,,,
base.ir_sequence_actions,menu,Actions,base.menu_ir_sequence_actions,"ir.actions.act_window,5",,,,,,
base.ir_action_report,menu,Reports,base.menu_ir_action_report,"ir.actions.act_window,6",,,,,,
base.ir_action_window,menu,Window Actions,base.menu_ir_action_window,"ir.actions.act_window,7",,,,,,
base.ir_client_actions_report,menu,Client Actions,base.menu_ir_client_actions_report,"ir.actions.act_window,8",,,,,,
base.action_server_action,menu,Server Actions,base.menu_server_action,"ir.actions.act_window,9",,,,,,
base.act_ir_actions_todo_form,menu,Configuration Wizards,base.menu_ir_actions_todo_form,"ir.actions.act_window,10",,,,,,
base.action_asset,menu,Assets,base.menu_action_asset,"ir.actions.act_window,12",,,,,,
base.ir_config_list_action,menu,System Parameters,base.ir_config_menu,"ir.actions.act_window,13",,,,,,
base.action_model_model,menu,Models,base.ir_model_model_menu,"ir.actions.act_window,19",,,,,,
base.action_model_fields,menu,Fields,base.ir_model_model_fields,"ir.actions.act_window,20",,,,,,
base.action_model_fields_selection,menu,Fields Selection,base.ir_model_model_fields_selection,"ir.actions.act_window,21",,,,,,
base.ir_access_act,menu,Access Rights,base.menu_ir_access_act,"ir.actions.act_window,25",,,,,,
base.action_attachment,menu,Attachments,base.menu_action_attachment,"ir.actions.act_window,26",,,,,,
base.ir_sequence_form,menu,Sequences,base.menu_ir_sequence_form,"ir.actions.act_window,28",,,,,,
base.ir_default_menu_action,menu,User-defined Defaults,base.ir_default_menu,"ir.actions.act_window,33",,,,,,
base.ir_logging_all_act,menu,Logging,base.ir_logging_all_menu,"ir.actions.act_window,37",,,,,,
base.action_view_base_import_language,menu,Import Translation,base.menu_view_base_import_language,"ir.actions.act_window,44",,,,,,
base.action_wizard_lang_export,menu,Export Translation,base.menu_wizard_lang_export,"ir.actions.act_window,47",,,,,,
base.action_menu_ir_profile,menu,Profiling,base.menu_ir_profile,"ir.actions.act_window,51",,,,,,
base.action_res_company_form,menu,Companies,base.menu_action_res_company_form,"ir.actions.act_window,52",,,,,,
base.ir_property_form,menu,Company Properties,base.menu_ir_property_form_all,"ir.actions.act_window,73",,,,,,
iap.iap_account_action,menu,IAP Accounts,iap.iap_account_menu,"ir.actions.act_window,86",,,,,,
mail.action_email_template_tree_all,menu,Email Templates,mail.menu_email_templates,"ir.actions.act_window,138",,,,,,
mail.mail_activity_type_action,menu,Activity Types,mail.menu_mail_activity_type,"ir.actions.act_window,121",,,,,,
base_tier_validation.tier_definition_action,menu,Tier Definition,base_tier_validation.menu_tier_definition,"ir.actions.act_window,153",,,,,,
project.action_project_task_user_tree,menu,Tasks Analysis,project.menu_project_report_task_analysis,"ir.actions.act_window,327",,,,,,
project.project_tags_action,menu,Tags,project.menu_project_tags_act,"ir.actions.act_window,320",,,,,,
project.mail_activity_type_action_config_project_types,menu,Activity Types,project.project_menu_config_activity_type,"ir.actions.act_window,324",,,,,,
project.mail_activity_plan_action_config_project_task_plan,menu,Activity Plans,project.mail_activity_plan_menu_config_project,"ir.actions.act_window,322",,,,,,
spreadsheet_dashboard.spreadsheet_dashboard_action_configuration_dashboards,menu,Dashboards,spreadsheet_dashboard.spreadsheet_dashboard_menu_configuration_dashboards,"ir.actions.act_window,330",,,,,,
stock.action_orderpoint,menu,Reordering Rules,stock.menu_reordering_rules_config,"ir.actions.act_window,408",,,,,,
payment.action_payment_provider,menu,Payment Providers,account_payment.payment_provider_menu,"ir.actions.act_window,210",,,,,,
smart_construction_core.action_sc_operating_metrics_project,menu,项目指标,smart_construction_core.menu_sc_operating_metrics_project,"ir.actions.act_window,471",,,,,,
smart_construction_core.action_sc_settlement_order,menu,结算单,smart_construction_core.menu_sc_settlement_order,"ir.actions.act_window,482",,,,,,
project.open_view_project_all,menu,项目列表,smart_construction_core.menu_sc_project_project,"ir.actions.act_window,302",,,,,,
smart_construction_core.action_construction_contract_expense,menu,支出合同,smart_construction_core.menu_sc_contract_expense,"ir.actions.act_window,477",,,,,,
smart_construction_core.action_project_budget,menu,项目预算,smart_construction_core.menu_sc_project_budget,"ir.actions.act_window,448",,,,,,
smart_construction_core.action_sc_project_document,menu,工程资料,smart_construction_core.menu_sc_project_documents,"ir.actions.act_window,470",,,,,,
smart_construction_core.action_project_material_plan,menu,物资计划,smart_construction_core.menu_project_material_plan,"ir.actions.act_window,462",,,,,,
smart_construction_core.action_sc_workflow_def,menu,工作流定义,smart_construction_core.menu_sc_workflow_def,"ir.actions.act_window,484",,,,,,
smart_construction_core.action_project_quota_subitem,menu,定额子目,smart_construction_core.menu_project_quota_subitem,"ir.actions.act_window,494",,,,,,
smart_construction_core.action_project_dictionary_discipline,menu,专业,smart_construction_core.menu_sc_dictionary_discipline,"ir.actions.act_window,490",,,,,,
smart_construction_core.action_project_dictionary,menu,业务字典,smart_construction_core.menu_sc_dictionary,"ir.actions.act_window,489",,,,,,
mail.mail_activity_action,menu,Activities,mail.menu_mail_activities,"ir.actions.act_window,122",,,,,,
mail.mail_activity_plan_action,menu,Activity Plans,mail.menu_mail_activity_plan,"ir.actions.act_window,124",,,,,,
account.action_account_payments,menu,Payments,account.menu_action_account_payments_receivable,"ir.actions.act_window,224",,,,,,
payment.action_payment_method,menu,Payment Methods,account_payment.payment_method_menu,"ir.actions.act_window,211",,,,,,
account.res_partner_action_supplier,menu,Vendors,purchase.menu_procurement_management_supplier_name,"ir.actions.act_window,282",,,,,,
base_tier_validation.tier_validation_exception_action,menu,Tier Validation Exception,base_tier_validation.menu_tier_validation_exception,"ir.actions.act_window,154",,,,,,
account.action_account_payments_payable,menu,Payments,account.menu_action_account_payments_payable,"ir.actions.act_window,225",,,,,,
stock.action_picking_tree_incoming,menu,Receipts,stock.in_picking,"ir.actions.act_window,379",,,,,,
purchase.product_normal_action_puchased,menu,Products,purchase.menu_procurement_partner_contact_form,"ir.actions.act_window,427",,,,,,
smart_construction_core.action_project_wbs,menu,WBS/分部分项,smart_construction_core.menu_sc_project_wbs,"ir.actions.act_window,454",,,,,,
smart_construction_core.action_project_budget_cost_alloc,menu,预算清单分摊,smart_construction_core.menu_sc_budget_alloc,"ir.actions.act_window,453",,,,,,
smart_construction_core.action_sc_workflow_instance,menu,工作流实例,smart_construction_core.menu_sc_workflow_instance,"ir.actions.act_window,485",,,,,,
smart_construction_core.action_project_quota_tree,menu,定额层级,smart_construction_core.menu_project_quota_tree,"ir.actions.act_window,495",,,,,,
smart_construction_core.action_project_dictionary_chapter,menu,章节,smart_construction_core.menu_sc_dictionary_chapter,"ir.actions.act_window,491",,,,,,
stock.action_picking_tree_outgoing,menu,Deliveries,stock.out_picking,"ir.actions.act_window,380",,,,,,
mail.mail_blacklist_action,menu,Email Blacklist,mail.mail_blacklist_menu,"ir.actions.act_window,140",,,,,,
smart_construction_core.action_payment_request,menu,付款/收款申请,smart_construction_core.menu_payment_request,"ir.actions.act_window,481",,,,,,
smart_construction_core.action_project_cost_compare,menu,成控中心,smart_construction_core.menu_sc_cost_center,"ir.actions.act_window,450",,,,,,
rating.rating_rating_action,menu,Ratings,rating.rating_rating_menu_technical,"ir.actions.act_window,186",,,,,,
smart_construction_core.action_sc_treasury_ledger,menu,资金台账,smart_construction_core.menu_sc_treasury_ledger,"ir.actions.act_window,483",,,,,,
smart_construction_core.action_project_budget,menu,项目预算,smart_construction_core.menu_sc_project_budget_center,"ir.actions.act_window,448",,,,,,
smart_construction_core.action_sc_workflow_workitem,menu,工作项,smart_construction_core.menu_sc_workflow_workitem,"ir.actions.act_window,486",,,,,,
smart_construction_core.action_project_dictionary_quota_item,menu,定额项目,smart_construction_core.menu_sc_dictionary_quota_item,"ir.actions.act_window,492",,,,,,
smart_construction_core.action_project_contract_overview,menu,合同汇总,smart_construction_core.menu_sc_project_contract_overview,"ir.actions.act_window,467",,,,,,
smart_construction_core.action_sc_tier_review_my_material_plan,menu,待我审批（物资计划）,smart_construction_core.menu_sc_tier_review_my_material_plan,"ir.actions.act_window,480",,,,,,
smart_construction_core.action_tender_bid,menu,投标管理,smart_construction_core.menu_sc_project_tender,"ir.actions.act_window,469",,,,,,
smart_construction_core.action_project_budget,menu,项目预算,smart_construction_core.menu_project_budget,"ir.actions.act_window,448",,,,,,
smart_construction_core.action_sc_finance_dashboard,menu,财务中心,smart_construction_core.menu_sc_finance_center,"ir.actions.act_window,463",,,,,,
smart_construction_core.action_project_progress_entry,menu,进度计量,smart_construction_core.menu_sc_project_progress,"ir.actions.act_window,455",,,,,,
smart_construction_core.action_project_cost_code,menu,成本科目,smart_construction_core.menu_sc_project_cost_code,"ir.actions.act_window,449",,,,,,
smart_construction_core.action_sc_workflow_log,menu,工作流日志,smart_construction_core.menu_sc_workflow_log,"ir.actions.act_window,487",,,,,,
smart_construction_core.action_project_dictionary_sub_item,menu,子目,smart_construction_core.menu_sc_dictionary_sub_item,"ir.actions.act_window,493",,,,,,
smart_construction_core.action_sc_tier_review_my_payment_request,menu,待我审批（付款申请）,smart_construction_core.menu_sc_tier_review_my_payment_request,"ir.actions.act_window,479",,,,,,
smart_construction_core.action_work_breakdown,menu,工程结构,smart_construction_core.menu_sc_project_work_breakdown,"ir.actions.act_window,468",,,,,,
mail.res_users_settings_action,menu,User Settings,mail.res_users_settings_menu,"ir.actions.act_window,137",,,,,,
snailmail.action_mail_letters,menu,Snailmail Letters,snailmail.menu_snailmail_letters,"ir.actions.act_window,203",,,,,,
smart_construction_core.action_project_boq_line,menu,工程量清单,smart_construction_core.menu_sc_project_boq_root,"ir.actions.act_window,459",,,,,,
smart_construction_core.action_project_cost_ledger,menu,成本台账,smart_construction_core.menu_sc_project_cost_ledger,"ir.actions.act_window,452",,,,,,
smart_construction_core.action_quota_import_wizard,menu,四川定额导入,smart_construction_core.menu_quota_import_wizard,"ir.actions.act_window,497",,,,,,
mail.mail_guest_action,menu,Guests,mail.mail_guest_menu,"ir.actions.act_window,135",,,,,,
mail.discuss_channel_rtc_session_action,menu,RTC sessions,mail.discuss_channel_rtc_session_menu,"ir.actions.act_window,115",,,,,,
smart_construction_core.action_sc_project_structure,menu,工程结构（清单WBS）,smart_construction_core.menu_sc_project_structure_wbs,"ir.actions.act_window,458",,,,,,
mail.action_ice_servers,menu,ICE servers,mail.ice_servers_menu,"ir.actions.act_window,113",,,,,,
mail.mail_message_reaction_action,menu,Message Reactions,mail.mail_message_reaction_menu,"ir.actions.act_window,136",,,,,,
mail.mail_link_preview_action,menu,Link Previews,mail.mail_link_preview_menu,"ir.actions.act_window,116",,,,,,
mail.discuss_gif_favorite_action,menu,GIF favorite,mail.discuss_gif_favorite_menu,"ir.actions.act_window,117",,,,,,
smart_construction_core.action_project_cost_compare,menu,成本报表,smart_construction_core.menu_sc_cost_reports,"ir.actions.act_window,450",,,,,,
smart_construction_core.action_project_profit_compare,menu,经营利润,smart_construction_core.menu_sc_profit_reports,"ir.actions.act_window,451",,,,,,
digest.digest_digest_action,menu,Digest Emails,digest.digest_menu,"ir.actions.act_window,207",,,,,,
account.action_account_supplier_accounts,menu,Bank Accounts,account.menu_account_supplier_accounts,"ir.actions.act_window,269",,,,,,
digest.digest_tip_action,menu,Digest Tips,digest.digest_tip_menu,"ir.actions.act_window,208",,,,,,
stock.action_stock_scrap,menu,Scrap,stock.menu_stock_scrap,"ir.actions.act_window,367",,,,,,
purchase.action_purchase_order_report_all,menu,Purchase,purchase.purchase_report,"ir.actions.act_window,439",,,,,,
account.product_product_action_sellable,menu,Products,account.product_product_menu_sellable,"ir.actions.act_window,271",,,,,,
account.product_product_action_purchasable,menu,Products,account.product_product_menu_purchasable,"ir.actions.act_window,272",,,,,,
account.res_partner_action_customer,menu,Customers,account.menu_account_customer,"ir.actions.act_window,281",,,,,,
account.res_partner_action_supplier,menu,Vendors,account.menu_account_supplier,"ir.actions.act_window,282",,,,,,
stock.stock_move_line_action,menu,Moves History,stock.stock_move_line_menu,"ir.actions.act_window,377",,,,,,
stock.stock_move_action,menu,Move Analysis,stock.stock_move_menu,"ir.actions.act_window,397",,,,,,
stock_account.stock_valuation_layer_action,menu,Valuation,stock_account.menu_valuation,"ir.actions.act_window,440",,,,,,
stock_account.inventory_aging_action,menu,Inventory Aging,stock_account.menu_inventory_aging,"ir.actions.act_window,442",,,,,,
,view_object_button,,project.edit_project,project.edit_project:form:action_view_tasks,831,project.project.form,project.project,action_view_tasks,object,
,view_object_button,,project.edit_project,project.edit_project:form:project_update_all_action,831,project.project.form,project.project,project_update_all_action,object,project.group_project_user
,view_object_button,预算,smart_construction_core.view_project_form_financial_buttons,smart_construction_core.view_project_form_financial_buttons:form:action_open_project_budgets,1317,project.project.form.financial.buttons,project.project,action_open_project_budgets,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,合同,smart_construction_core.view_project_form_financial_buttons,smart_construction_core.view_project_form_financial_buttons:form:action_open_project_contracts,1317,project.project.form.financial.buttons,project.project,action_open_project_contracts,object,"smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_contract_manager"
,view_object_button,任务,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_view_tasks,1296,project.project.form.sc.core,project.project,action_view_tasks,object,"base.group_system,smart_construction_core.group_sc_task_entry_access,smart_construction_core.group_sc_super_admin"
,view_object_button,,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:project_update_all_action,1296,project.project.form.sc.core,project.project,project_update_all_action,object,"base.group_system,smart_construction_core.group_sc_task_entry_access,smart_construction_core.group_sc_super_admin"
,view_object_button,工程结构,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_wbs,1296,project.project.form.sc.core,project.project,action_open_wbs,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,工程量清单,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_boq_import,1296,project.project.form.sc.core,project.project,action_open_boq_import,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,查看台账明细,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_cost_ledger,1296,project.project.form.sc.core,project.project,action_open_cost_ledger,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,查看进度明细,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_progress_entries,1296,project.project.form.sc.core,project.project,action_open_progress_entries,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,导入清单,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_boq_import,1296,project.project.form.sc.core,project.project,action_open_boq_import,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,生成工程结构,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_generate_wbs_from_boq,1296,project.project.form.sc.core,project.project,action_generate_wbs_from_boq,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,重建工程量清单层级,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_rebuild_boq_hierarchy,1296,project.project.form.sc.core,project.project,action_rebuild_boq_hierarchy,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,校验工程量清单,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_validate_boq,1296,project.project.form.sc.core,project.project,action_validate_boq,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_view_tasks,841,project.project.kanban,project.project,action_view_tasks,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_get_list_view,841,project.project.kanban,project.project,action_get_list_view,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_view_tasks_analysis,841,project.project.kanban,project.project,action_view_tasks_analysis,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_project_task_burndown_chart_report,841,project.project.kanban,project.project,action_project_task_burndown_chart_report,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_view_tasks,841,project.project.kanban,project.project,action_view_tasks,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_get_list_view,841,project.project.kanban,project.project,action_get_list_view,object,project.group_project_milestone
,view_object_button,View Tasks,project.view_project,project.view_project:tree:action_view_tasks,833,project.project.tree,project.project,action_view_tasks,object,
,view_object_button,Create project,project.project_project_view_form_simplified_footer,project.project_project_view_form_simplified_footer:form:action_view_tasks,840,project.project.view.form.simplified,project.project,action_view_tasks,object,
,kanban_object,,project.project_view_kanban_inherit_project,project.project_view_kanban_inherit_project:kanban:project_update_all_action,846,project.kanban.inherit.project,project.project,project_update_all_action,object,
