contract_id,legacy_contract_id,legacy_document_no,legacy_contract_no,subject,amount,amount_source,previous_legacy_contract_amount,previous_amount_untaxed
2106,1b24070db53f43cf8f2ffddc2790d67e,DYS2023-28-003-230921,GYSHT-20231121-001,租赁合同,-35400.0000,note.amount_trace,0.0,0.0
1883,1116e5440aca42d49beb3a05c2b9575b,DYS2023-28-002-230921,GYSHT-20231103-002,劳务合同,-50290.0000,note.amount_trace,0.0,0.0
2306,2517a381838e4c29a30eef62425975d6,SC2025-79-034-251222（以结算单录入）,GYSHT-20260327-005,材料合同,-31499.0000,note.amount_trace,0.0,0.0
6740,fd9d2e0582584fcf88e30e03a824ea2a,DYS2023-47-010-231218 （1）,GYSHT-20231219-003,材料合同,-12300.0000,note.amount_trace,0.0,0.0
5252,b6612cff945548f89cb44b8fd389e0f6,DYS2023-47-008-231127,GYSHT-20231205-003,材料合同,-93276.0000,note.amount_trace,0.0,0.0
4979,a8f3487d6fe24b98a8e9256b85c8bc26,DYS2023-47-009-231204,GYSHT-20231206-005,材料合同,-22134.0000,note.amount_trace,0.0,0.0
5550,c51bafdf4f5a4815b8b18c329c76ef58,LSS2020-36-001-240223（1）,GYSHT-20240313-002,材料合同,-21824.4100,note.amount_trace,0.0,0.0
3610,65494bde36ac41e5896614dd07d01c0c,NCS2021-29-064-240104,GYSHT-20240429-005,劳务合同,-54006.6400,note.amount_trace,0.0,0.0
3041,48ff320aaeef4252acd9987af4abefbf,CDS2021-112-041-231122（减少）,GYSHT-20250103-003,劳务合同,-370461.3700,note.amount_trace,0.0,0.0
1659,07aafe525a7f41dd87228acaed05b728,CDS2021-97-001-240119（1,GYSHT-20240123-002,材料合同,-164715.6300,note.amount_trace,0.0,0.0
5118,afdcbc0ac2034292a6839a267154032e,MSS2020-35-057-231218,GYSHT-20231221-005,材料合同,-110000.0000,note.amount_trace,0.0,0.0
4608,9612e315433147c0888ffd7869dcb497,MSS2020-35-056-231215,GYSHT-20231221-005,材料合同,-295000.0000,note.amount_trace,0.0,0.0
3259,547e5a6e595b4ec38cafc19bdce55ee3,MSS2020-35-055-231215,GYSHT-20231221-005,材料合同,-294300.3700,note.amount_trace,0.0,0.0
2511,2f0560bd22c34aa0a4637fce4fbebc88,MSS2020-35-054-231215,GYSHT-20231221-004,材料合同,-295000.0000,note.amount_trace,0.0,0.0
4342,88fa4d7010824ddb92721aafca7c97f9,GZS2023-61-036-251208 (2)录负数5万,GYSHT-20260104-001,材料合同,-50000.0000,note.amount_trace,0.0,0.0
1525,00ffb9616011447abebe34bb1a96fb47,DYS2022-86-001-1110,GYSHT-20231007-004,租赁合同,-95300.0000,note.amount_trace,0.0,0.0
5311,b8f6fed2e95a4308bd245e4d95624927,DYS2023-63-010-240223（1,GYSHT-20240223-002,材料合同,-50000.0000,note.amount_trace,0.0,0.0
4297,8676e6e72f4648a0b47c12b9925d92e3,结算单,GYSHT-20240814-001,材料合同,-13300.0000,note.amount_trace,0.0,0.0
3531,6181343462cc4b56aaf6a0c076ef10ec,DYS2022-88-005-0227,GYSHT-20240328-002,材料合同,-70690.0000,note.amount_trace,0.0,0.0
2293,2465a79f80c442e5ba1b7fb8dd26b7e6,CQS2022-53-003-231011,GYSHT-20240531-003,分包合同,-200000.0000,note.amount_trace,0.0,0.0
4645,97b4f61597e14bb7b6ed844db00f2bbb,20240805,GYSHT-20240805-002,材料合同,-700000.0000,note.amount_trace,0.0,0.0
5217,b52340be24814132aa27ae4339e6de20,CQS2022-41-001-0622,GYSHT-20240205-002,材料合同,-148325.0000,note.amount_trace,0.0,0.0
6146,e15e5d95b4a5451bb0b0f1a1e3623698,DYS2024-231-002-241216（2作废）,GYSHT-20241223-002,劳务合同,-51100.0000,note.amount_trace,0.0,0.0
6430,efc839175517494fbdbc1face537a10c,CQS2023-96-003-231016,GYSHT-20240229-003,分包合同,-8000000.0000,note.amount_trace,0.0,0.0
3031,48a100fa7f84462892a4e17588beb5ac,CQS2023-96-020-240229,GYSHT-20240304-002,劳务合同,-4500000.0000,note.amount_trace,0.0,0.0
1521,00e5a2cc0dd54fe381000bb900855c2a,SNS2021-03-002-1018,GYSHT-20240206-003,租赁合同,-74536.0000,note.amount_trace,0.0,0.0
3695,6927b00d65d74e9a99709aadcac5388d,CQS2022-59-001-0202,GYSHT-20231204-006,劳务合同,-1600000.0000,note.amount_trace,0.0,0.0
3474,5ebfb5ff345b4b0982c078fb4ee751ab,DYS2021-60-019-231206,GYSHT-20231206-005,材料合同,-14191.0000,note.amount_trace,0.0,0.0
3985,76f5e084209b4c9bb855756dcf4bc8e6,PZH2023-39-28-230703,GYSHT-20240315-003,劳务合同,-1036000.0000,note.amount_trace,0.0,0.0
2884,41512bfbe3e74a249a9c0510b24759b8,PZH2023-39-035-230801,GYSHT-20230928-002,劳务合同,-550000.0000,note.amount_trace,0.0,0.0
5198,b43cbab7b72844be883ce61bbe8277a8,MYS2025-229-016-260316（以结算单录入）,GYSHT-20260316-004,材料合同,-633660.0000,note.amount_trace,0.0,0.0
5175,b3012c6d497f48dc87daa875ebb987f8,MYS2025-229-021-260316（以结算单录入差额）,GYSHT-20260316-003,材料合同,-227135.0000,note.amount_trace,0.0,0.0
4881,a374f4a0d58a41b6b09e2d9396c2b460,MYS2025-229-011-260316（以结算单录入差额）,GYSHT-20260316-006,材料合同,-332100.0000,note.amount_trace,0.0,0.0
3597,6497796536ae4f25bc28fc1b046ea024,MYS2025-229-019-260316（以结算单录入差额）,GYSHT-20260316-002,租赁合同,-165200.0000,note.amount_trace,0.0,0.0
1797,0d71611362ad40938d6d7e1b2cd8998f,MYS2025-229-015-260316（以结算单录入差额）,GYSHT-20260316-005,材料合同,-134817.0800,note.amount_trace,0.0,0.0
5022,ab1f2ba5492e4ea48f5e641e51808e60,BZS2024-04-012-240401,GYSHT-20240416-001,租赁合同,-35000.0000,note.amount_trace,0.0,0.0
5706,cd5e62c10bc7420684c9034da29fa619,BTX2020-039-002-1027,GYSHT-20231107-001,分包合同,-85000.0000,note.amount_trace,0.0,0.0
3242,533ddd7fe82b45189da964c7ac2d45dc,GZS2021-79-007-1214,GYSHT-20240208-003,材料合同,-20000.0000,note.amount_trace,0.0,0.0
2101,1b100338f18941d5874cb5abaa869b90,GZS2021-90-006-231116（录入负数11万）,GYSHT-20251105-005,材料合同,-110000.0000,note.amount_trace,0.0,0.0
