legacy_record_id|SJBMC|DJBH|DJZT|XMID|XMMC|DKYH|DKZH|DKJE|DKRQ|HKRQ|DKSJ|DKLL|HKZH|TXR|HKJE|DKLX|BZ|DKDJID|FJ|LRR|LRSJ|BM|XM|DKDBH|D_SCBSJS_DKTS|D_SCBSJS_SJNLL|D_SCBSJS_DQLX|D_SCBSJS_SJHKTS
cc06b7943f954e49ae0feac9579ec4dd|还款登记|HKDJ-20190315-001|1|c0911f97c69d4f808f0a73d506cfe151|测试项目-普票|dsdadsa|sadsad|15.0000|2019-03-15 00:00:00|2019-03-15 00:00:00|1900-01-01 00:00:00|25472.0000|asdsad|华略科技22|2542.0000|254.0000|sadasdsadasd|0d78ee8aef7c401d866eed4b54546bb3|c8782853857045fea3e13de6c0430869|华略科技|2019-03-15 15:42:58|NULL|NULL|NULL|0|NULL|NULL|NULL
86b1139c2a384ff097402d3e8153f3d9|还款登记|HKDJ-20190319-001|2|c0911f97c69d4f808f0a73d506cfe151|测试项目-普票|dsad|asdasdsad|151.0000|2019-03-15 00:00:00|2019-03-15 00:00:00|1900-01-01 00:00:00|5242.0000|M备用金银行卡/122222222222321|华略科技|1.0000|1115.0000||b714ee1891f34b92a019f6115bba349c|c5c93119c0744f2694dd38700f7fb4b4|华略科技|2019-03-19 11:59:34|NULL|NULL|NULL|0|NULL|NULL|NULL
e14ebe9b1fc546e8b91a461d44936485|还款登记|HKDJ-20200514-001|2|292584f7b81f40579ab90504983a05fc|蓬溪县汽车城二期建设项目||四川保盛建设集团有限公司/1001 1000 0000 1931|380173.0000|2019-08-08 00:00:00|2020-01-17 00:00:00|1900-01-01 00:00:00|.0000|四川保盛建设集团有限公司/1001 1000 0000 1931|文楠|300000.0000|.0000||1a73c4006726438b9839cc43c9e1f1ca|635c14c9150942caa54d0bffed2acf21|文楠|2020-05-14 18:10:34|NULL|NULL|NULL|162|NULL|NULL|NULL
9dd19a98b7b84a08b574cdf065c61b83|还款登记|HKDJ-20200529-001|2|e198e1afc1324069844bfe3a310cfe91|誉城国际一期二批次||四川保盛建设集团有限公司/1001 1000 0000 1931|21723.5800|2020-05-21 00:00:00|2020-05-28 00:00:00|1900-01-01 00:00:00|.0000|四川保盛建设集团有限公司/1001 1000 0000 1931|焦玲|21723.5800|.0000||a44cfa786bf74e3081e7706fac83a7ed|77fc4a0fe28c459abcc20101daf59d8c|焦玲|2020-05-29 19:58:20|NULL|NULL|NULL|7|NULL|NULL|NULL
357bdb30e717421798375222916afb16|还款登记|HKDJ-20200529-002|2|e198e1afc1324069844bfe3a310cfe91|誉城国际一期二批次||四川保盛建设集团有限公司/1001 1000 0000 1931|10147.0000|2020-05-15 00:00:00|2020-05-28 00:00:00|1900-01-01 00:00:00|.0000|四川保盛建设集团有限公司/1001 1000 0000 1931|焦玲|10147.0000|.0000||15d1673e74d94999a84f0ec1e9d3a2e5|39bc003c460b4bf9963e1ae17464a26b|焦玲|2020-05-29 19:58:58|NULL|NULL|NULL|13|NULL|NULL|NULL
a02a8b6373dd4b55a69cfa3090c8834a|还款登记|HKDJ-20200529-003|2|e198e1afc1324069844bfe3a310cfe91|誉城国际一期二批次||四川保盛建设集团有限公司/1001 1000 0000 1931|18742.4400|2020-05-14 00:00:00|2020-05-28 00:00:00|1900-01-01 00:00:00|.0000||焦玲|18742.4400|.0000||a487e180fddf46c489520da114b84ca3|f358713f695346588396e6e47389c79f|焦玲|2020-05-29 19:59:28|NULL|NULL|NULL|14|NULL|NULL|NULL
a60ab58b21ec4c9fbe717c1f9f542c4f|还款登记|HKDJ-20200529-004|2|e198e1afc1324069844bfe3a310cfe91|誉城国际一期二批次||四川保盛建设集团有限公司/1001 1000 0000 1931|29753.0000|2020-04-14 00:00:00|2020-05-28 00:00:00|1900-01-01 00:00:00|.0000|四川保盛建设集团有限公司/1001 1000 0000 1931|焦玲|29753.0000|.0000||c542d7c8cbaf432fa1ce26e3383d7106|0ca891c0c60648d4a939aa6ded74d473|焦玲|2020-05-29 20:00:07|NULL|NULL|NULL|44|NULL|NULL|NULL
0e112eb4c48d4dc6955b9b94ab5df2a3|还款登记|HKDJ-20200529-005|2|e198e1afc1324069844bfe3a310cfe91|誉城国际一期二批次||四川保盛建设集团有限公司/51001644205052505109|300000.0000|2020-05-12 00:00:00|2020-05-28 00:00:00|1900-01-01 00:00:00|.0000|四川保盛建设集团有限公司/1001 1000 0000 1931|焦玲|300000.0000|.0000||97798f32e67e4820a7745a324d347497|44d42b4e266342e0a7279a334166b0de|焦玲|2020-05-29 20:01:11|NULL|NULL|NULL|16|NULL|NULL|NULL
24fe237e156e466ab4d996db5f549f40|还款登记|HKDJ-20200529-006|2|e198e1afc1324069844bfe3a310cfe91|誉城国际一期二批次||四川保盛建设集团有限公司/1001 1000 0000 1931|4245.9000|2020-04-15 00:00:00|2020-05-28 00:00:00|1900-01-01 00:00:00|.0000|四川保盛建设集团有限公司/1001 1000 0000 1931|焦玲|4245.9000|.0000||ecd08007419245beb840b7cf0725686d|00bbafe7e3ae4e3daf95f002b3d1f6e5|焦玲|2020-05-29 20:01:42|NULL|NULL|NULL|43|NULL|NULL|NULL
916dec9e59f249c7ab1bbfe32f79b659|还款登记|HKDJ-20200529-007|2|e198e1afc1324069844bfe3a310cfe91|誉城国际一期二批次||四川保盛建设集团有限公司/51001644205052505109|18268.0000|2020-04-14 00:00:00|2020-05-28 00:00:00|1900-01-01 00:00:00|.0000|四川保盛建设集团有限公司/1001 1000 0000 1931|焦玲|18268.0000|.0000||ea5f45e5190144aa97e106da7a24d85f|f14eb1bbe9534a9ebcb4e5b8c4201903|焦玲|2020-05-29 20:02:10|NULL|NULL|NULL|44|NULL|NULL|NULL
