external_id,name,company_type,is_company,vat,phone,email,legacy_partner_id,legacy_partner_source,legacy_partner_name,legacy_credit_code,legacy_tax_no,legacy_source_evidence,source_bucket,requested_partner_ref
legacy_partner_sc_000e226a46684d79a5cf51575ef42283,中环城乡规划设计有限公司喀什第一分公司,company,1,91659003MABKYU1256,,,000e226a46684d79a5cf51575ef42283,cooperat_company,中环城乡规划设计有限公司喀什第一分公司,91659003MABKYU1256,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_000e226a46684d79a5cf51575ef42283
legacy_partner_sc_00128712d8524bc49503f998a3ff9477,四川金通检测有限公司,company,1,91510124MA6CFR4H9B,,,00128712d8524bc49503f998a3ff9477,company_supplier,四川金通检测有限公司,,91510124MA6CFR4H9B,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_00128712d8524bc49503f998a3ff9477
legacy_partner_sc_004073d55ad84c79af2f7e51db48eb59,绵竹市剑南镇恩泽超市,company,1,92510683MA6774679Y,,,004073d55ad84c79af2f7e51db48eb59,company_supplier,绵竹市剑南镇恩泽超市,,92510683MA6774679Y,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_004073d55ad84c79af2f7e51db48eb59
legacy_partner_sc_005a8aafe58e471ebf71398e5e5a0c4d,旌阳区黄许镇李氏木材经营部,company,1,92510603MA6588KH47,,,005a8aafe58e471ebf71398e5e5a0c4d,company_supplier,旌阳区黄许镇李氏木材经营部,,92510603MA6588KH47,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_005a8aafe58e471ebf71398e5e5a0c4d
legacy_partner_sc_005fe89b5fd745749c3f47565e518e9c,凉山州渝佳商贸有限公司,company,1,,,,005fe89b5fd745749c3f47565e518e9c,company_supplier,凉山州渝佳商贸有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_005fe89b5fd745749c3f47565e518e9c
legacy_partner_sc_0061e4d535de4b69bc2d46b82c1d9123,格尔木李佳顺机械租赁部,company,1,92632801MABJDG527P,,,0061e4d535de4b69bc2d46b82c1d9123,company_supplier,格尔木李佳顺机械租赁部,,92632801MABJDG527P,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_0061e4d535de4b69bc2d46b82c1d9123
legacy_partner_sc_0072ef1bb1d841dc8a59e627ccc5b09f,四川杉尘建筑工程有限公司,company,1,91510623MA647UB44D,,,0072ef1bb1d841dc8a59e627ccc5b09f,company_supplier,四川杉尘建筑工程有限公司,91510623MA647UB44D,91510623MA647UB44D,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_0072ef1bb1d841dc8a59e627ccc5b09f
legacy_partner_sc_008ad57549d146a79ab25a5de9d7137c,四川中青家政服务有限公司,company,1,91510600MA69PPC3X,,,008ad57549d146a79ab25a5de9d7137c,cooperat_company,四川中青家政服务有限公司,91510600MA69PPC3X,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_008ad57549d146a79ab25a5de9d7137c
legacy_partner_sc_00a084bb37be4f56a8cb562d100cea62,新疆腾鑫木业有限责任公司,company,1,91659003MA7AAJCNXP,,,00a084bb37be4f56a8cb562d100cea62,cooperat_company,新疆腾鑫木业有限责任公司,91659003MA7AAJCNXP,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_00a084bb37be4f56a8cb562d100cea62
legacy_partner_sc_00b28f3acd344199bdbfc9ef59a84192,中江县南华镇邹明孝机械设备租赁服务部,company,1,92510623MA683G320A,,,00b28f3acd344199bdbfc9ef59a84192,company_supplier,中江县南华镇邹明孝机械设备租赁服务部,,92510623MA683G320A,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_00b28f3acd344199bdbfc9ef59a84192
legacy_partner_sc_00bc9e8fb8b64f3885353a9ad435f479,广西天意顺木业有限公司,company,1,,,,00bc9e8fb8b64f3885353a9ad435f479,cooperat_company,广西天意顺木业有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_00bc9e8fb8b64f3885353a9ad435f479
legacy_partner_sc_00e4f88e5c5044acab30b4f5acd23524,成都旺叶工程技术服务有限公司,company,1,91510114MA65FXPP8M,,,00e4f88e5c5044acab30b4f5acd23524,cooperat_company,成都旺叶工程技术服务有限公司,91510114MA65FXPP8M,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_00e4f88e5c5044acab30b4f5acd23524
legacy_partner_sc_00ecb80132bf46db924663d91c32b0a4,新疆亿达通环保科技有限公司,company,1,91653101MA7776FM6Q,,,00ecb80132bf46db924663d91c32b0a4,cooperat_company,新疆亿达通环保科技有限公司,91653101MA7776FM6Q,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_00ecb80132bf46db924663d91c32b0a4
legacy_partner_sc_010fe29bf24b42f7960918034de3ed5c,成都董然商贸有限公司,company,1,91510113MA68Q9M951,,,010fe29bf24b42f7960918034de3ed5c,cooperat_company,成都董然商贸有限公司,91510113MA68Q9M951,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_010fe29bf24b42f7960918034de3ed5c
legacy_partner_sc_0112000d20ae4f9ba7df4cb55e0648cb,绵竹市土门镇展兴建材经营部,company,1,92510683MA65NY2U9P,,,0112000d20ae4f9ba7df4cb55e0648cb,cooperat_company,绵竹市土门镇展兴建材经营部,92510683MA65NY2U9P,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_0112000d20ae4f9ba7df4cb55e0648cb
legacy_partner_sc_0114b4fccc46464096590f8411216fa2,成都鸿泰润翔保温材料有限公司,company,1,,,,0114b4fccc46464096590f8411216fa2,company_supplier,成都鸿泰润翔保温材料有限公司,,,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_0114b4fccc46464096590f8411216fa2
legacy_partner_sc_011cd26ca5de48299e16a9195300a49a,旌阳区和鑫石材加工厂,company,1,92510603MA630UND5D,,,011cd26ca5de48299e16a9195300a49a,company_supplier,旌阳区和鑫石材加工厂,,92510603MA630UND5D,tmp/raw/partner/company.csv:T_Base_CooperatCompany;tmp/raw/partner/supplier.csv:T_Base_SupplierInfo,partner_master,legacy_partner_sc_011cd26ca5de48299e16a9195300a49a
legacy_partner_sc_013c1b6645c14afd89b4845aba804157,旌阳区钉居建材经营部,company,1,92510603MACPNDD13M,,,013c1b6645c14afd89b4845aba804157,cooperat_company,旌阳区钉居建材经营部,92510603MACPNDD13M,,tmp/raw/partner/company.csv:T_Base_CooperatCompany,partner_master,legacy_partner_sc_013c1b6645c14afd89b4845aba804157
