legacy_contract_id,legacy_project_id,project_id,partner_id,subject,type,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,tax_policy,name_policy,state_policy
0a2327c0e84a47ebaf4218101ec2fdd3,28020d9fe0c345f295ebbf4b41c119e4,2235,107,绵竹市城区停车场建设项目二期设计施工（一标段）项目模板脚手架专业分包工程,out,DYS2025-68,WBHTGL-20250528-001,17484004276790000,2,0,中国建筑第六工程局有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
102f1039d9bf4d7e8cb2946dbf2aab72,23aa1343ca99440abf7bd7315fd60c6a,2222,109,中核中原建设 2022-2023 年度华北、西北区域脚手架专业分包框架协议,out,SNS2022-96,WBHTGL-20221125-001,1000000823,2,,中国核工业中原建设有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
2642d1906f134f568ddcf9b818b96578,14c4325bb56b408788e6f442f4384374,2172,108,广东南华工商职业学院清远校区二期建设工程 （ 学 生生活区、教学行政区）,out,GDS2022-113,WBHTGL-20221228-001,1000000851,2,,中国建筑第四工程局有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
359ceebc083241caab1db9b39a2c33ba,1524f421b94c41698305394cf8691f44,2174,118,中国移动四川公司市州分公司2025年—2028年管理用房及生产枢纽楼公共区域零星维修项目的标包22 天府,out,CDS2025-164,WBHTGL-20250925-002,17587814421540000,2,0,中国移动通信集团四川有限公司天府新区分公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
36b4b9472702459e80a3cac11f08b27d,26a87546cbc24afcb6852904c53cf90c,2231,115,中国移动四川公司2025-2027年全省汇聚机房土建工程施工集中采购项目（标包4-乐山分公司）框架协议-上市公司,out,LSS2025-155,WBHTGL-20250916-001,17580042439200000,2,0,中国移动通信集团四川有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
3711d3dac7ba46118043cafaae7eb45c,1aef1f14fbf64e46a61e70d6cef5955f,2194,114,龙岗001-20井气田水回注安装工程,out,NCS2022-68,WBHTGL-20220815-002,1000000740,2,,中国石油天然气第七建设有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
60b982a1089a4503a46fa3954832143d,23cc90c8afb441639a37ac3d7a9e4fe5,2223,91,某部机关院内及教导队营房维修项目,out,DYS2022-58,WBHTGL-20220721-001,1000000693,2,,中国人民武装警察部队德阳支队,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
81dbe78d87334ee8914ac5e704aa6a28,076d8bcae3064dca8927f4f629bf2356,2131,115,中国移动四川西区二枢纽“车库改机房”土建工程,out,LSS2020-12,WBHTGL-20200507-001,1000000184,2,,中国移动通信集团四川有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
ab66b22d46754e96afe821d9cc4c49f3,1ceeb10c5d5745879b20d438e2e69534,2199,102,德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资 EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程（园路JLC）分包合同,out,DYS2020-63,WBHTGL-20210113-002,1000000345,2,,中国华西企业股份有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
bbf50c8fdc56423eb1a4339ef4eb2ab3,2001f5127b3e4265b198bef8a7553358,2209,102,德阳黄河路（黄山路至秦岭山路）提档升级改造工程等7个基础设施建设项目融资EPC工程绵远河（青衣江路大桥至钱塘江路大桥）生态整治工程,out,DYS2020-44,WBHTGL-20200331-001,1000000162,2,,中国华西企业股份有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
d55e6a51a92a41fe8a7cc79f2cd6ca50,059742d9ac094c018b91894306d5fc2d,2126,105,ALC预制隔墙板供应及施工分包合同,out,DYS2021-46,WBHTGL-20210610-002,1000000449,2,,中国建筑一局（集团）有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
f8907855353b4e09a8101022cac1433e,0550ea3a2e1b4161b25a697476e344b5,2125,107,准环对称仿星器项目,out,CDS2025-08,WBHTGL-20250115-001,17369075184210000,2,0,中国建筑第六工程局有限公司,use_model_default_tax_for_type_after_db_precheck,use_model_sequence_on_create_after_write_authorization,create_as_draft_do_not_replay_legacy_workflow
