request_id,name,type,project_id,contract_id,partner_id,amount,date_request,state,legacy_receipt_id
1,PRQ2600001,receive,772,,4979,233111.44,2022-10-25,draft,00160865282b430db03ead68b670d4b6
2,PRQ2600002,receive,594,,6849,10000.0,2023-05-05,draft,00351b540d6d426e82ba3491a0944f49
3,PRQ2600003,receive,246,,6960,21016.0,2020-04-02,draft,003a2b2e1c2246debf30d768154b9c22
4,PRQ2600004,receive,342,1106,5138,500000.0,2023-12-14,draft,003b6d460ab5436e87f7915e29782380
5,PRQ2600005,receive,508,774,5286,100000.0,2023-06-19,draft,003f18cf3a964e6c8c9815f9f10bab0c
6,PRQ2600006,receive,138,,5954,22100.0,2026-01-12,draft,004756fa95f1474ca69e9396249c748f
7,PRQ2600007,receive,581,,5293,11413.12,2021-05-08,draft,0049e3a0ff644914b455f2bcf69eb1e1
8,PRQ2600008,receive,164,,6895,60000.0,2021-09-03,draft,005bc7575ee5438486199336a9608546
9,PRQ2600009,receive,752,,6790,84000.0,2023-07-20,draft,007e969edc1f4a838619d0daa60a6294
10,PRQ2600010,receive,145,1173,6621,500000.0,2019-12-11,draft,007ff91f7ad3460fbc748d74fcc466ca
11,PRQ2600011,receive,8,,4348,411682.78,2021-05-19,draft,00851e8639404bde89a667e1ecc0afcc
12,PRQ2600012,receive,472,,6790,38488.8,2020-10-09,draft,0087d4690fd645d4bb2b55b3291c0863
13,PRQ2600013,receive,718,,4760,481985.0,2023-01-05,draft,0095ed67934e47b2a5a376a2ef993c79
14,PRQ2600014,receive,341,,3853,142678.0,2022-03-31,draft,00acf9308c794f0b9bbd108b09e768f8
15,PRQ2600015,receive,495,1217,5133,372278.72,2023-05-26,draft,00bb9da4a6b2477caab339b298a561a2
16,PRQ2600016,receive,16,,6923,37865.16,2021-08-30,draft,00c7e6631c0b47219bd1fcc71753787a
17,PRQ2600017,receive,399,,6091,150000.0,2019-12-14,draft,00e3e0db849842359539865f811d3988
18,PRQ2600018,receive,646,,5301,635627.72,2023-09-05,draft,00e8469534214d8f9fd3a571e04958c0
19,PRQ2600019,receive,607,,4159,75180.0,2025-04-01,draft,012932c59c22409cbdaf2a4d9c4d9013
20,PRQ2600020,receive,664,1367,3452,862129.28,2024-09-04,draft,01387ab522b6472cb4f8b72a16c80f21
21,PRQ2600021,receive,90,1103,5265,696091.06,2024-09-24,draft,015f38f1d67f493fa63263d177f2d627
22,PRQ2600022,receive,585,,6790,5800.0,2025-03-24,draft,016034c373384baa956acc0f85152131
23,PRQ2600023,receive,797,45,5338,100000.0,2024-02-07,draft,016f3b632651405fac6f86afc40636ba
24,PRQ2600024,receive,178,1260,3864,1798792.5,2023-12-05,draft,0183fb667b644346ab4801ac416b1616
25,PRQ2600025,receive,739,,6790,70000.0,2023-04-03,draft,0184e43b13854632b8047e2d73ae43f0
26,PRQ2600026,receive,176,13,5261,1180907.11,2025-01-14,draft,0186d45d77ac40d0a460dfdcd64d1cfe
27,PRQ2600027,receive,94,,6829,20030.94,2022-11-01,draft,01872824143747d5867c088df0951c19
28,PRQ2600028,receive,448,58,3200,151900.0,2024-08-20,draft,0197327cb828466a8049633a896008ad
29,PRQ2600029,receive,644,1409,6376,108810.0,2024-08-12,draft,01a2e4c4dd7349dbbfd17acf0726b887
30,PRQ2600030,receive,502,,3185,2322.0,2022-12-21,draft,01ae74c0e8ba4dbd8747e9d3259aa4d8
31,PRQ2600031,receive,177,462,4209,3000000.0,2026-02-13,draft,01afa8f224c1409590aed9b6bd782a73
32,PRQ2600032,receive,763,,3892,676200.0,2022-01-24,draft,01b2b08e9cdc488ba5538c2074157a69
33,PRQ2600033,receive,331,1047,4492,200000.0,2025-08-28,draft,01e83609cc964339b5a64af37c38cce3
34,PRQ2600034,receive,424,1362,3935,3200000.0,2024-10-22,draft,01eab28776c34415bbf7078f57e7d834
35,PRQ2600035,receive,501,1099,6643,317376.72,2025-11-24,draft,01fd9a00104b4c25be11e4943a3a5cf2
36,PRQ2600036,receive,554,962,4383,514178.82,2022-07-14,draft,022451901b254bee87cee015adee195d
37,PRQ2600037,receive,82,,6961,100000.0,2025-11-18,draft,02275c4ed7eb4086bdbd3df83f48edc4
38,PRQ2600038,receive,569,,6829,7516.48,2019-12-31,draft,023d8527b0cf43b9bf8f0984b93e0af3
