legacy_header_id,document_no,document_state,document_date,project_legacy_id,project_name,supplier_legacy_id,supplier_name,use_org_legacy_id,use_org_name,work_part_legacy_id,work_part,title,creator_legacy_user_id,creator_name,created_at,amount_total,legacy_pid,active,raw_payload
81e7b41f070744e295af1e4ec570aa7b,JXTB-20180516-001,1,2018-05-16T00:00:00,bc8a2b57abd845f7b6fb08ee45819103,千山百合,da3c51fb3ec14e03ad21c971c52115e7,123,1009801001,222,,123,,,no1hl,2018-05-16T09:55:44,,6,1,"{""Id"":""81e7b41f070744e295af1e4ec570aa7b"",""SJBMC"":""机械台班记录主表"",""XMID"":""bc8a2b57abd845f7b6fb08ee45819103"",""XMMC"":""千山百合"",""DJRQ"":""2018-05-16T00:00:00"",""SYDWID"":""1009801001"",""SYDW"":""222"",""SGBWID"":"""",""SGBW"":""123"",""FJ"":""7a40ae998c204f59bba51c1db629a947"",""BZ"":""123"",""DJBH"":""JXTB-20180516-001"",""DJZT"":""1"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2018-05-16T09:55:44"",""XGR"":""华略科技"",""XGRID"":""8888888"",""XGSJ"":""2018-09-27T10:35:33"",""ZLDWID"":""da3c51fb3ec14e03ad21c971c52115e7"",""ZLDW"":""123"",""pid"":6}"
21ba607d076543469b266221a9ac9617,JXTB-20180516-002,1,2018-05-16T00:00:00,bc8a2b57abd845f7b6fb08ee45819103,千山百合,da3c51fb3ec14e03ad21c971c52115e7,123,1009801001,222,,123,,,no1hl,2018-05-16T10:25:42,,7,1,"{""Id"":""21ba607d076543469b266221a9ac9617"",""SJBMC"":""机械台班记录主表"",""XMID"":""bc8a2b57abd845f7b6fb08ee45819103"",""XMMC"":""千山百合"",""DJRQ"":""2018-05-16T00:00:00"",""SYDWID"":""1009801001"",""SYDW"":""222"",""SGBWID"":"""",""SGBW"":""123"",""FJ"":""31027d12de974cc7bfdc5ad89a52f970"",""BZ"":""123"",""DJBH"":""JXTB-20180516-002"",""DJZT"":""1"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2018-05-16T10:25:42"",""XGR"":""华略科技"",""XGRID"":""8888888"",""XGSJ"":""2018-09-27T10:26:58"",""ZLDWID"":""da3c51fb3ec14e03ad21c971c52115e7"",""ZLDW"":""123"",""pid"":7}"
e695606ff8ff4ab6b93462d2b4ea3bc6,JXTB-20180926-001,1,2018-09-26T00:00:00,c0911f97c69d4f808f0a73d506cfe151,测试项目,9d32735b62bc454187524c3a16bae421,功能,1007301001,西南物流,,,,,no1hl,2018-09-26T17:20:04,,9,1,"{""Id"":""e695606ff8ff4ab6b93462d2b4ea3bc6"",""SJBMC"":""机械台班记录主表"",""XMID"":""c0911f97c69d4f808f0a73d506cfe151"",""XMMC"":""测试项目"",""DJRQ"":""2018-09-26T00:00:00"",""SYDWID"":""1007301001"",""SYDW"":""西南物流"",""SGBWID"":"""",""SGBW"":"""",""FJ"":""ec54606cd4a046369d13f41ba39b6c04"",""BZ"":"""",""DJBH"":""JXTB-20180926-001"",""DJZT"":""1"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2018-09-26T17:20:04"",""XGR"":""no1hl"",""XGRID"":"""",""XGSJ"":""2018-09-27T11:36:12"",""ZLDWID"":""9d32735b62bc454187524c3a16bae421"",""ZLDW"":""功能"",""pid"":9}"
ac85c70e09054261bb9a4a2b03a1204f,JXTB-20181008-001,2,2018-10-08T00:00:00,ade2fed282084a3fa90b47c9a7fedeaa,内控项目测试-专票,79a394c804944d07ae05fc37d66be166,的广东佛山,1009001001,222,1_201831177744733,主体,,,no1hl,2018-10-08T09:54:19,,10,1,"{""Id"":""ac85c70e09054261bb9a4a2b03a1204f"",""SJBMC"":""机械台班记录主表"",""XMID"":""ade2fed282084a3fa90b47c9a7fedeaa"",""XMMC"":""内控项目测试-专票"",""DJRQ"":""2018-10-08T00:00:00"",""SYDWID"":""1009001001"",""SYDW"":""222"",""SGBWID"":""1_201831177744733"",""SGBW"":""主体"",""FJ"":""b3b65cf2c2024b8eb0b5927381044775"",""BZ"":"""",""DJBH"":""JXTB-20181008-001"",""DJZT"":""2"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2018-10-08T09:54:19"",""XGR"":""no1hl"",""XGRID"":"""",""XGSJ"":""2018-12-14T14:40:02"",""ZLDWID"":""79a394c804944d07ae05fc37d66be166"",""ZLDW"":""的广东佛山"",""pid"":10}"
3185a2d4d2dc4d12b36d683179e825db,JXTB-20190102-001,,2019-01-02T00:00:00,c0911f97c69d4f808f0a73d506cfe151,测试项目-普票,9d32735b62bc454187524c3a16bae421,功能,1007301001,西南物流,,,,,no1hl,2019-01-02T17:22:28,,15,1,"{""Id"":""3185a2d4d2dc4d12b36d683179e825db"",""SJBMC"":""机械台班记录主表"",""XMID"":""c0911f97c69d4f808f0a73d506cfe151"",""XMMC"":""测试项目-普票"",""DJRQ"":""2019-01-02T00:00:00"",""SYDWID"":""1007301001"",""SYDW"":""西南物流"",""SGBWID"":"""",""SGBW"":"""",""FJ"":""0f839a9449c040dc91f38487de110809"",""BZ"":"""",""DJBH"":""JXTB-20190102-001"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2019-01-02T17:22:28"",""XGR"":""no1hl"",""XGRID"":"""",""XGSJ"":""2019-06-11T18:06:06"",""ZLDWID"":""9d32735b62bc454187524c3a16bae421"",""ZLDW"":""功能"",""JSDW"":1,""pid"":15}"
f3ce717e223549cea420ca30ebb6ce3d,JXTB-20190425-001,,2019-04-25T00:00:00,,,,,,,,,,,no1hl,2019-04-25T17:12:46,,16,1,"{""Id"":""f3ce717e223549cea420ca30ebb6ce3d"",""SJBMC"":""机械台班记录主表"",""XMID"":"""",""XMMC"":"""",""DJRQ"":""2019-04-25T00:00:00"",""SYDWID"":"""",""SYDW"":"""",""SGBWID"":"""",""SGBW"":"""",""FJ"":""47f5691861474472b2005752dcc2cda6"",""BZ"":"""",""DJBH"":""JXTB-20190425-001"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2019-04-25T17:12:46"",""ZLDWID"":"""",""ZLDW"":"""",""pid"":16}"
3a50baffb7ab4c7fa5843ae44ca43ca9,JXTB-20190429-001,,2019-04-29T00:00:00,ade2fed282084a3fa90b47c9a7fedeaa,内控项目测试-专票-专票,79a394c804944d07ae05fc37d66be166,的广东佛山,1009001001,222,,,,,no1hl,2019-04-29T13:46:32,,17,1,"{""Id"":""3a50baffb7ab4c7fa5843ae44ca43ca9"",""SJBMC"":""机械台班记录主表"",""XMID"":""ade2fed282084a3fa90b47c9a7fedeaa"",""XMMC"":""内控项目测试-专票-专票"",""DJRQ"":""2019-04-29T00:00:00"",""SYDWID"":""1009001001"",""SYDW"":""222"",""SGBWID"":"""",""SGBW"":"""",""FJ"":""a7c3aa5c879a46b8b1cd144f03e9620a"",""BZ"":"""",""DJBH"":""JXTB-20190429-001"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2019-04-29T13:46:32"",""ZLDWID"":""79a394c804944d07ae05fc37d66be166"",""ZLDW"":""的广东佛山"",""pid"":17}"
276fac83f6ed455ba389f86b55f382d6,JXTB-20190530-001,1,2019-05-30T00:00:00,2d64fd73f2134c50ad8ad66fd21500a9,测试项目8899,2bc42ab3438c4f668874e16d86b24a6e,测试单位,1014001001,测试二级,,,,,no1hl,2019-05-30T15:15:18,,18,1,"{""Id"":""276fac83f6ed455ba389f86b55f382d6"",""SJBMC"":""机械台班记录主表"",""XMID"":""2d64fd73f2134c50ad8ad66fd21500a9"",""XMMC"":""测试项目8899"",""DJRQ"":""2019-05-30T00:00:00"",""SYDWID"":""1014001001"",""SYDW"":""测试二级"",""SGBWID"":"""",""SGBW"":"""",""FJ"":""24848c3890cb4b059eebe96739d88b88"",""BZ"":"""",""DJBH"":""JXTB-20190530-001"",""DJZT"":""1"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2019-05-30T15:15:18"",""XGR"":""华略科技"",""XGRID"":""8888888"",""XGSJ"":""2019-05-30T16:32:53"",""ZLDWID"":""2bc42ab3438c4f668874e16d86b24a6e"",""ZLDW"":""测试单位"",""pid"":18}"
172559a15ba7441fac7c9fd251dea8f6,JXTB-20190530-002,2,2019-05-30T00:00:00,2d64fd73f2134c50ad8ad66fd21500a9,测试项目8899,2bc42ab3438c4f668874e16d86b24a6e,测试单位,1014001001,测试二级,,,,,no1hl,2019-05-30T15:31:21,,19,1,"{""Id"":""172559a15ba7441fac7c9fd251dea8f6"",""SJBMC"":""机械台班记录主表"",""XMID"":""2d64fd73f2134c50ad8ad66fd21500a9"",""XMMC"":""测试项目8899"",""DJRQ"":""2019-05-30T00:00:00"",""SYDWID"":""1014001001"",""SYDW"":""测试二级"",""SGBWID"":"""",""SGBW"":"""",""FJ"":""c6216017ac61409e924b170e6bafe332"",""BZ"":"""",""DJBH"":""JXTB-20190530-002"",""DJZT"":""2"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2019-05-30T15:31:21"",""XGR"":""华略科技"",""XGRID"":""8888888"",""XGSJ"":""2019-05-30T16:12:44"",""ZLDWID"":""2bc42ab3438c4f668874e16d86b24a6e"",""ZLDW"":""测试单位"",""pid"":19}"
756358c27f224e2cbbaf5fdb9cccc395,JXTB-20190605-001,,2019-06-05T00:00:00,,,,,,,,,,,no1hl,2019-06-05T09:29:25,,20,1,"{""Id"":""756358c27f224e2cbbaf5fdb9cccc395"",""SJBMC"":""机械台班记录主表"",""XMID"":"""",""XMMC"":"""",""DJRQ"":""2019-06-05T00:00:00"",""SYDWID"":"""",""SYDW"":"""",""SGBWID"":"""",""SGBW"":"""",""FJ"":""3d9ba4a6f5544369b05bfdd9a36ad0c8"",""BZ"":"""",""DJBH"":""JXTB-20190605-001"",""LRR"":""no1hl"",""LRRID"":"""",""LRSJ"":""2019-06-05T09:29:25"",""ZLDWID"":"""",""ZLDW"":"""",""pid"":20}"
