legacy_record_id                                                                                                                                                                                                                                                	DJBH                                                                                                                                                                                                                                                            	DJZT                                                                                                                                                                                                                                                            	DJRQ                                                                                                                                                                                                                                                            	XM                                                                                                                                                                                                                                                              	RYLX                                                                                                                                                                                                                                                            	SFZHM                                                                                                                                                                                                                                                           	LXFS                                                                                                                                                                                                                                                            	ZSFY                                                                                                                                                                                                                                                            	SBJS                                                                                                                                                                                                                                                            	ZS                                                                                                                                                                                                                                                              	XMMC                                                                                                                                                                                                                                                            	RYZT                                                                                                                                                                                                                                                            	BZ                                                                                                                                                                                                                                                              	LRR                                                                                                                                                                                                                                                             	LRSJ                                                                                                                                                                                                                                                            
00547ae576134dfc8305a497d7c9be96                                                                                                                                                                                                                                	SBRY-20240116-024                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-16T00:00:00                                                                                                                                                                                                                                             	刘恒伟                                                                                                                                                                                                                                                             	证书挂靠                                                                                                                                                                                                                                                            	510623197108170618                                                                                                                                                                                                                                              	18281007336                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1486.9500                                                                                                                                                                                                                                                       	标准员、机械员、道路与桥梁职称证                                                                                                                                                                                                                                                	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	未签聘用合同                                                                                                                                                                                                                                                          	徐丹                                                                                                                                                                                                                                                              	2024-01-16T14:50:04                                                                                                                                                                                                                                             
01195b8256f743059e8b6d7fe694b110                                                                                                                                                                                                                                	SBRY-20240115-010                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-15T00:00:00                                                                                                                                                                                                                                             	刘锐                                                                                                                                                                                                                                                              	证书挂靠                                                                                                                                                                                                                                                            	510603198802132055                                                                                                                                                                                                                                              	15983800607                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1612.6800                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	未签聘用合同                                                                                                                                                                                                                                                          	徐丹                                                                                                                                                                                                                                                              	2024-01-15T15:55:29                                                                                                                                                                                                                                             
04885cb533114e4cb56a340f94b0a970                                                                                                                                                                                                                                	SBRY-20250417-002                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2025-04-17T00:00:00                                                                                                                                                                                                                                             	刘光芝                                                                                                                                                                                                                                                             	员工                                                                                                                                                                                                                                                              	510624196711103323                                                                                                                                                                                                                                              	13881022380                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1165.3500                                                                                                                                                                                                                                                       	德阳市臻合商贸有限公司                                                                                                                                                                                                                                                     	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	超年龄，无法购买医疗保险                                                                                                                                                                                                                                                    	徐丹                                                                                                                                                                                                                                                              	2025-04-17T11:58:33                                                                                                                                                                                                                                             
054bc251a6884f03b85d3943e7209f18                                                                                                                                                                                                                                	SBRY-20240923-002                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-09-23T00:00:00                                                                                                                                                                                                                                             	补扣2024年5--7月社保                                                                                                                                                                                                                                                  	员工                                                                                                                                                                                                                                                              	111                                                                                                                                                                                                                                                             	1                                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	276.0200                                                                                                                                                                                                                                                        	四川宏政嘉斯建筑工程有限公司                                                                                                                                                                                                                                                  	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2024-09-23T10:05:34                                                                                                                                                                                                                                             
078cf141225e447f8a54d2d06ac3b891                                                                                                                                                                                                                                	SBRY-20251216-002                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2025-12-16T00:00:00                                                                                                                                                                                                                                             	易文轩                                                                                                                                                                                                                                                             	员工                                                                                                                                                                                                                                                              	51060320031222001X                                                                                                                                                                                                                                              	15281464525                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1633.3300                                                                                                                                                                                                                                                       	四川宏川建筑劳务有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2025-12-16T10:50:43                                                                                                                                                                                                                                             
08a30450068b4024a9227670ef4d9c07                                                                                                                                                                                                                                	SBRY-20251113-003                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2025-11-13T00:00:00                                                                                                                                                                                                                                             	胡晓梅                                                                                                                                                                                                                                                             	个人挂靠                                                                                                                                                                                                                                                            	510602197903187847                                                                                                                                                                                                                                              	13689652257                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1612.6800                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2025-11-13T09:30:36                                                                                                                                                                                                                                             
08f2556b0d5c4d1691d2832b10eab1be                                                                                                                                                                                                                                	SBRY-20240118-011                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-18T00:00:00                                                                                                                                                                                                                                             	马晓梅                                                                                                                                                                                                                                                             	个人挂靠                                                                                                                                                                                                                                                            	654222199705073627                                                                                                                                                                                                                                              	18580396789                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1509.0300                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	禁用                                                                                                                                                                                                                                                              	新疆分公司人员，已签购买社保手续                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-01-18T15:47:32                                                                                                                                                                                                                                             
0b6c9e64631745769c82d070b431eeb4                                                                                                                                                                                                                                	SBRY-20250730-002                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2025-07-30T00:00:00                                                                                                                                                                                                                                             	陈铁军                                                                                                                                                                                                                                                             	个人挂靠                                                                                                                                                                                                                                                            	51092319881125585X                                                                                                                                                                                                                                              	19136175587                                                                                                                                                                                                                                                     	                                                                                                                                                                                                                                                                	1157.0700                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2025-07-30T14:46:45                                                                                                                                                                                                                                             
0cdd382b4ef54433b9bd63739ab8109e                                                                                                                                                                                                                                	SBRY-20251016-003                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2025-10-16T00:00:00                                                                                                                                                                                                                                             	翔驰恒瑞补缴                                                                                                                                                                                                                                                          	员工                                                                                                                                                                                                                                                              	1                                                                                                                                                                                                                                                               	1                                                                                                                                                                                                                                                               	                                                                                                                                                                                                                                                                	349.3800                                                                                                                                                                                                                                                        	四川翔驰恒瑞商贸有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	启用                                                                                                                                                                                                                                                              	                                                                                                                                                                                                                                                                	陈天友                                                                                                                                                                                                                                                             	2025-10-16T11:21:03                                                                                                                                                                                                                                             
0d6eeca868704f46a9b6414b407de4ef                                                                                                                                                                                                                                	SBRY-20240118-008                                                                                                                                                                                                                                               	0                                                                                                                                                                                                                                                               	2024-01-18T00:00:00                                                                                                                                                                                                                                             	赵婷茹                                                                                                                                                                                                                                                             	个人挂靠                                                                                                                                                                                                                                                            	510311198906171722                                                                                                                                                                                                                                              	18580396789                                                                                                                                                                                                                                                     	0.0000                                                                                                                                                                                                                                                          	1486.9500                                                                                                                                                                                                                                                       	四川保盛建设集团有限公司                                                                                                                                                                                                                                                    	公司综合平台                                                                                                                                                                                                                                                          	禁用                                                                                                                                                                                                                                                              	新疆分公司人员，已签购买社保手续                                                                                                                                                                                                                                                	徐丹                                                                                                                                                                                                                                                              	2024-01-18T15:41:09                                                                                                                                                                                                                                             
