fact_family,field,rows_with_value,distinct_values,sample_values
payment,document_no,1115,72,FK-202306121508 / FK-202306271715 / FK-202306262042 / FK-202305311216 / FK-202306091504 / FK-202306262041 / FK-202306262043 / FK-202306271849
payment,f_xmid,0,0,
payment,xmmc,0,0,
payment,tsxmid,0,0,
payment,tsxmmc,0,0,
payment,lyxmid,0,0,
payment,lyxm,0,0,
payment,gcmc,0,0,
payment,bm,1111,5,四川保盛联营项目 / 四川楷楠建设工程有限公司 / 德阳市福兴建筑劳务有限公司 / 德阳泰诚硕商贸有限公司 / 二重厂西路等4条道路工程
payment,sjs_company,0,0,
payment,supplier_name,1115,79,高地库房 / 四川昆程建材有限公司 / 四汇建设集团有限公司 / 李德兴 / 德阳市旌凯建材有限公司 / 周路林 / 伟宸建设集团有限公司 / 国家税务总局德阳经济技术开发区税务局
payment,remark,1110,959,水稳材料 / 水稳材料（库房） / 沥青 / 挖机、破碎金额592200元（李德兴） / 沥青款 / 中砂2351.8m3*180、连砂石124.8*120 / 路肩人工（周路林） / 第一次开票税金（3098811/1.1*0.1）
supplier_contract,document_no,9,7,GYSHT-202306201520 / GYSHT-202306251544 / GYSHT-202306261307 / GYSHT-202306251545 / GYSHT-202306281113 / GYSHT-202306251721 / GYSHT-202306271724
supplier_contract,xmid,0,0,
supplier_contract,project_name,0,0,
supplier_contract,gcmc,0,0,
supplier_contract,jbbm,0,0,
supplier_contract,wfdw,0,0,
supplier_contract,zbdhjbt,0,0,
supplier_contract,zmbtext,9,1,德阳泰诚硕商贸有限公司
supplier_contract,supplier_name,9,6,四川矿奇石材有限公司 / 四川智能弘安交通科技有限公司 / 乐山市东方不锈钢制品厂 / 德阳林海物资有限公司 / 德阳裕康钢筋加工厂 / 德阳市庆源物资有限公司
supplier_contract,contract_name,0,0,
