legacy_partner_source,legacy_partner_id,name,tax_no,source_type,deleted_flag,source_status,source_code,idempotency_key,replay_action,current_db_partner_id,evidence_file
cooperat_company,00035947f75a42c78f9b0d9fb2793d51,德阳市区霖宇建材经营部,1,company,0,2,GYS-20250626-001,cooperat_company::00035947f75a42c78f9b0d9fb2793d51,create_if_missing,4300,artifacts/migration/partner_l4_missing_tax_single_source_1554_write_result_v1.json
cooperat_company,000e226a46684d79a5cf51575ef42283,中环城乡规划设计有限公司喀什第一分公司,91659003MABKYU1256,company,0,2,GYS-20240326-002,cooperat_company::000e226a46684d79a5cf51575ef42283,create_if_missing,1285,artifacts/migration/partner_l4_1000_retry_write_result_v1.json
cooperat_company,00128712d8524bc49503f998a3ff9477,四川金通检测有限公司,a,company,0,2,661000100015,cooperat_company::00128712d8524bc49503f998a3ff9477,create_if_missing,2465,artifacts/migration/partner_l4_company_supplier_pair_1713_write_result_v1.json
cooperat_company,004073d55ad84c79af2f7e51db48eb59,绵竹市剑南镇恩泽超市,92510683MA6774679Y,company,0,2,21000100227,cooperat_company::004073d55ad84c79af2f7e51db48eb59,create_if_missing,3456,artifacts/migration/partner_l4_company_supplier_pair_1713_write_result_v1.json
cooperat_company,005a8aafe58e471ebf71398e5e5a0c4d,旌阳区黄许镇李氏木材经营部,1,company,0,2,1080000100004,cooperat_company::005a8aafe58e471ebf71398e5e5a0c4d,create_if_missing,3349,artifacts/migration/partner_l4_company_supplier_pair_1713_write_result_v1.json
cooperat_company,0061e4d535de4b69bc2d46b82c1d9123,格尔木李佳顺机械租赁部,92632801MABJDG527P,company,0,2,120000100054,cooperat_company::0061e4d535de4b69bc2d46b82c1d9123,create_if_missing,3547,artifacts/migration/partner_l4_company_supplier_pair_1713_write_result_v1.json
cooperat_company,0072ef1bb1d841dc8a59e627ccc5b09f,四川杉尘建筑工程有限公司,91510623MA647UB44D,company,0,2,659000100038,cooperat_company::0072ef1bb1d841dc8a59e627ccc5b09f,create_if_missing,2731,artifacts/migration/partner_l4_company_supplier_pair_1713_write_result_v1.json
cooperat_company,008ad57549d146a79ab25a5de9d7137c,四川中青家政服务有限公司,91510600MA69PPC3X,company,0,2,GYS-20250910-003,cooperat_company::008ad57549d146a79ab25a5de9d7137c,create_if_missing,810,artifacts/migration/partner_l4_500_write_result_v1.json
cooperat_company,00a084bb37be4f56a8cb562d100cea62,新疆腾鑫木业有限责任公司,91659003MA7AAJCNXP,company,0,2,GYS-20231115-002,cooperat_company::00a084bb37be4f56a8cb562d100cea62,create_if_missing,1281,artifacts/migration/partner_l4_1000_retry_write_result_v1.json
cooperat_company,00b28f3acd344199bdbfc9ef59a84192,中江县南华镇邹明孝机械设备租赁服务部,a,company,0,2,940000100026,cooperat_company::00b28f3acd344199bdbfc9ef59a84192,create_if_missing,3409,artifacts/migration/partner_l4_company_supplier_pair_1713_write_result_v1.json
cooperat_company,00bc9e8fb8b64f3885353a9ad435f479,广西天意顺木业有限公司,1,company,0,2,GYS-20250609-001,cooperat_company::00bc9e8fb8b64f3885353a9ad435f479,create_if_missing,4227,artifacts/migration/partner_l4_missing_tax_single_source_1554_write_result_v1.json
cooperat_company,00d1ea906ba04f70807e684fefebf81e,绵阳市宇洁涛家政服务有限公司,92510703MA675L73,company,0,2,GYS-20251204-003,cooperat_company::00d1ea906ba04f70807e684fefebf81e,create_if_missing,1675,artifacts/migration/partner_l4_1000_retry_write_result_v1.json
cooperat_company,00e0511377584e47aae84c5f766ed2f1,广元市朝天区财政国库支付中心,,company,0,2,,cooperat_company::00e0511377584e47aae84c5f766ed2f1,create_if_missing,4190,artifacts/migration/partner_l4_missing_tax_single_source_1554_write_result_v1.json
cooperat_company,00e4f88e5c5044acab30b4f5acd23524,成都旺叶工程技术服务有限公司,91510114MA65FXPP8M,company,0,2,GYS-20231103-004,cooperat_company::00e4f88e5c5044acab30b4f5acd23524,create_if_missing,666,artifacts/migration/partner_l4_500_write_result_v1.json
cooperat_company,00ecb80132bf46db924663d91c32b0a4,新疆亿达通环保科技有限公司,91653101MA7776FM6Q,company,0,2,GYS-20231214-005,cooperat_company::00ecb80132bf46db924663d91c32b0a4,create_if_missing,1197,artifacts/migration/partner_l4_1000_retry_write_result_v1.json
