legacy_department_id,name,parent_legacy_department_id,depth,state,identity_path,legacy_project_id,is_company,is_child_company,charge_leader_legacy_user_id,charge_leader_name,note
013740392f604e1b8e9b5c1a31ec80be,德阳高新区万福棚改二期大门改造工程机电安装专业分包,1,1,0,2,3d9adf1f35c648e182d821f1fd826589,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=141548; other_system_code=BM000004
038363bb319f42bf93702cb369fb359d,绿地健康谷二号地块1标段项目泡沫混凝土工程,1,1,0,2,66efda2bb2b54b13965122fd2bb35618,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
0457937cc9fb4179b1e38c339a310094,中铁十九局集团有限公司1415项目P、T 点位,1,1,0,2,5011e3673ec54e11a2e2a47a47ab34e1,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
0540d0e39a2d459d82eb70e781af4a4e,南川区石溪镇2024年农村公路（学校至王官果业（主干道至家禽屠宰场）、灯草湾至枫香榜）建设项目,1,1,0,2,e8f89b108b8e4e46b84c1d3a60233d10,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
059a04ea899b48148d3bb5f49403759f,中国移动四川公司成都分公司2023-2025年渠道维修采购项目,1,1,0,2,63151c4e794243ec8a52e85d9c0eb410,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=141550; other_system_code=BM000005
05ae4c95230c4b47a44cdceb0a2b27ff,测试3.0名称123,1,1,1,2,7fa974d0bc674fb48bd98beaad6825ab,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
06b33c29220d4e9eb878b08a310d008b,绵阳市安州区高级职业中学空调电力改造安装工程,1,1,0,2,1989ad3a331c42308a06490ef6d777b0,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
06d4acdfd0254911bb07c462da09481d,喀什地区英吉沙县2022年停车场建设项目工程总承包,565,2,0,2,cf1710ce2cc140c2b0710924a59a216b,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=141553; other_system_code=BM000007
08272b22274649bcb699b02449548386,重庆文理学院2025年附属工程项目(不可预测的零星维修工程),570,2,0,2,0d21826a7ebb4dbfb7317338baaf57a0,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
0877e02fa6344129a2a74551332cf2b6,绵竹市高新区科技服务中心项目消防工程,1,1,0,2,57dfa8223dae43c999c1d2e26650453f,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
0bd7916005d045c6816fd6d9c9dc4749,重庆电子科技职业大学应急与抢险工程,570,2,0,2,21959dda2000462c95b82b966657b312,,0,,,source_table=BASE_ORGANIZATION_DEPARTMENT; other_system_id=; other_system_code=
