contract_id,legacy_contract_id,legacy_project_id,project_id,project_name,partner_id,partner_name,name,subject,type,state,legacy_contract_no,legacy_document_no,legacy_external_contract_no,legacy_status,legacy_deleted_flag,legacy_counterparty_text,line_count,is_locked
484,4b019aa6b2b54579968e2530cf653062,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,5803,二重（德阳）重型装备有限公司,CONIN2600447,铸造厂清理热处理区域能源管道涂刷整治项目,out,draft,DYS2025-171,WBHTGL-20251013-001,17603367083200000,2,0,二重（德阳）重型装备有限公司,0,False
485,4b01d61c23a346c283f37cfe285b35b4,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,3663,中国第二重型机械集团德阳万航模锻有限责任公司,CONIN2600448,模锻厂-M2T切边机电气安全隐患整改,out,draft,DYS2025-100,WBHTGL-20250704-004,17516093411070000,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,0,False
486,4b1494006d45439ab88f3088cef7958c,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,5803,二重（德阳）重型装备有限公司,CONIN2600449,齿轮、重机厂电子显示屏升级改造项目,out,draft,DYS2023-159,WBHTGL-20231102-001,16989139235210000,2,0,二重（德阳）重型装备有限公司,0,False
487,4bd719d2c5fd4cdc99cc15704692694a,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600450,酒店东侧倾斜围墙修复项目,out,draft,DYS2020-07-15,WBHTGL-20200723-002,1000000229,2,,四川工程职业技术学院,0,False
488,4bf13c1d64094ce9aa6870adb84302b8,369f099d737d448aa55cd8f191da953b,2279,铜梁区二坪镇严家村二、三、五组公路工程,4976,重庆市铜梁区二坪镇人民政府,CONIN2600451,铜梁区二坪镇严家村公路工程,out,draft,CQS2020-13,WBHTGL-20200519-001,1000000193,2,,重庆市铜梁区二坪镇人民政府,0,False
489,4c15e2477faf4ec48e71e0125873a148,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,5803,二重（德阳）重型装备有限公司,CONIN2600452,室外建筑物固定式爬梯安全整治合同,out,draft,DYS2024-79,WBHTGL-20240513-002,17155714665980000,2,0,二重（德阳）重型装备有限公司,0,False
490,4c2c9b0c55344bedb2c216ed32950a8e,ec8e6e03ff4c40cfb4ce25cdddc7474e,2813,向东工程,5871,德阳市供水安装工程队,CONIN2600453,金沙江路686号四川英杰电气股份有限公司分户工程,out,draft,DYS2024-182,WBHTGL-20240923-032,17270605423570000,2,0,德阳市供水安装工程队,0,False
491,4c49511159c84b38860aac91c8fd4564,37a2903cc4f94a9194faedfa2148bb0e,2282,苍溪县2020年龙山镇金虎村12个村和龙山镇水娅村等12个村城乡建设用地增减挂钩项目,5914,苍溪县兴苍建设有限公司,CONIN2600454,苍溪县、龙山镇金虎村等12个村和龙山镇水垭村等12个村城乡建设用地增减挂钩试点项目,out,draft,GYS2021-23,WBHTGL-20210408-005,1000000400,2,,苍溪县兴苍建设有限公司,0,False
492,4c4b6bcb0aa84b929f22909d9b0870be,6b4e37cd90a94055a69de211efdab846,2444,易静工程（德阳二重工程项目）,3663,中国第二重型机械集团德阳万航模锻有限责任公司,CONIN2600455,万航模锻504#、505#配电室安全整改,out,draft,DYS2023-83,WBHTGL-20230712-001,1000000970,2,0,中国第二重型机械集团德阳万航模锻有限责任公司,0,False
493,4c6e8fc381a047b49df3531bbefdbc65,b7f07bc4b72c4cd29b5d1b445b499386,2661,工程学院零星项目,3935,四川工程职业技术学院,CONIN2600456,实习工厂四合院周边人行道改造,out,draft,DYS2023-72,WBHTGL-20230706-001,1000000959,2,0,四川工程职业技术学院,0,False
